date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2010/1/4,152,152.5,150.5,151.5,0,0,23703.729
2010/1/5,153.5,155.5,151.5,152.5,1,0.66,34765.658
2010/1/6,152.5,153,151.5,151.5,-1,-0.66,28645.356
2010/1/7,151.5,152.5,148.5,150,-1.5,-0.99,28165.06
2010/1/8,150,151,147,150.5,0.5,0.33,23525.808
2010/1/11,148,150,148,148.5,-2,-1.33,24077.82
2010/1/12,148.5,149.5,147.5,148,-0.5,-0.34,34028.302
2010/1/13,146,147,145,145.5,-2.5,-1.69,32014.362
2010/1/14,146,150,146,149.5,4,2.75,23761.647
2010/1/15,151.5,153,150,152.5,3,2.01,28782.527
2010/1/18,151,152,150,151,-1.5,-0.98,15578.08
2010/1/19,151.5,152,148,149,-2,-1.32,18169.884
2010/1/20,150,150,147,147.5,-1.5,-1.01,27558.993
2010/1/21,145.5,147,145,146,-1.5,-1.02,27348.926
2010/1/22,141,142,137,138,-8,-5.48,74138.933
2010/1/25,136,140,135.5,139.5,1.5,1.09,34306.257
2010/1/26,141,141,135.5,136.5,-3,-2.15,38759.693
2010/1/27,137,137.5,133,133,-3.5,-2.56,37632.431
2010/1/28,136,139,134,136,3,2.26,32485.864
2010/1/29,133.5,134.5,131.5,134.5,-1.5,-1.1,37759.936
2010/2/1,133,134.5,130,131.5,-3,-2.23,24995.571
2010/2/2,135,136,133.5,134,2.5,1.9,34335.376
2010/2/3,136.5,138,135,138,4,2.99,22417.316
2010/2/4,138,138,135.5,136.5,-1.5,-1.09,15211.055
2010/2/5,133,133.5,132,132.5,-4,-2.93,27183.874
2010/2/6,134,135.5,132.5,135,2.5,1.89,13776.987
2010/2/8,135.5,136.5,134,134,-1,-0.74,22148.468
2010/2/9,133,135,132.5,133.5,-0.5,-0.37,31537.621
2010/2/10,135,136.5,133.5,134.5,1,0.75,28191.042
2010/2/22,138,138,133.5,134.5,0,0,33147.649
2010/2/23,134.5,135.5,133,134.5,0,0,24297.982
2010/2/24,134,134,132.5,132.5,-2,-1.49,18557.325
2010/2/25,133,133,127,128,-4.5,-3.4,53697.591
2010/2/26,126,130,126,127,-1,-0.78,30789.904
2010/3/1,130.5,132,128.5,130.5,3.5,2.76,26744.368
2010/3/2,133,135,132,133,2.5,1.92,39569.393
2010/3/3,134,134,132.5,133.5,0.5,0.38,15501.127
2010/3/4,135,135,132,133.5,0,0,21212.411
2010/3/5,135,135,133,134,0.5,0.37,18027.132
2010/3/8,136,137.5,134.5,137.5,3.5,2.61,29916.506
2010/3/9,137.5,138.5,136.5,138,0.5,0.36,24859.645
2010/3/10,138,138.5,137,138,0,0,15566.079
2010/3/11,139.5,139.5,137.5,137.5,-0.5,-0.36,22677.78
2010/3/12,138,138,135.5,137.5,0,0,18370.303
2010/3/15,138,138,134,134,-3.5,-2.55,15874.305
2010/3/16,136,137,134.5,137,3,2.24,18490.806
2010/3/17,138.5,139.5,137.5,139.5,2.5,1.82,33219.524
2010/3/18,140,140,138.5,139.5,0,0,22215.001
2010/3/19,139.5,139.5,138,139.5,0,0,12121.567
2010/3/22,138.5,138.5,136.5,137,-2.5,-1.79,9661.366
2010/3/23,138,139,137.5,138,1,0.73,10599.628
2010/3/24,138.5,139.5,136.5,136.5,-1.5,-1.09,18015.18
2010/3/25,135.5,136.5,134,136.5,0,0,34678.367
2010/3/26,135.5,136.5,134,134.5,-2,-1.47,30778.084
2010/3/29,136.5,137.5,136,137.5,3,2.23,18897.396
2010/3/30,138.5,139,137.5,138.5,1,0.73,19460.946
2010/3/31,138.5,139,137.5,137.5,-1,-0.72,12125.999
2010/4/1,138.5,140,138,140,2.5,1.82,28971.985
2010/4/2,140,141,139,139.5,-0.5,-0.36,12999.076
2010/4/6,140.5,144.5,140.5,143.5,4,2.87,32999.258
2010/4/7,145,145,142.5,144.5,1,0.7,19823.042
2010/4/8,144,145,142,142.5,-2,-1.38,27154.322
2010/4/9,142.5,145,142,144.5,2,1.4,24084.596
2010/4/12,145,145.5,143,144.5,0,0,21947.854
2010/4/13,143.5,143.5,141,141,-3.5,-2.42,21488.065
2010/4/14,142,143,141,142,1,0.71,13233.088
2010/4/15,143.5,144.5,142,143.5,1.5,1.06,20064.945
2010/4/16,143.5,143.5,140,141,-2.5,-1.74,18729.699
2010/4/19,139,140,136.5,136.5,-4.5,-3.19,31241.052
2010/4/20,138,139,137,138.5,2,1.47,18297.323
2010/4/21,140,140.5,138.5,139,0.5,0.36,21252.293
2010/4/22,139,143,138.5,142.5,3.5,2.52,30989.31
2010/4/23,144,145,143,144.5,2,1.4,40384.756
2010/4/26,146,148,146,148,3.5,2.42,46218.465
2010/4/27,149,150,148,149.5,1.5,1.01,46204.099
2010/4/28,146,153.5,145.5,153,3.5,2.34,62952.509
2010/4/29,153,154.5,151,152,-1,-0.65,43459.869
2010/4/30,150,153.5,148.5,148.5,-3.5,-2.3,48325.546
2010/5/3,149,149,146.5,147,-1.5,-1.01,19002.872
2010/5/4,148.5,149,147,148.5,1.5,1.02,18031.359
2010/5/5,145.5,145.5,143,143,-5.5,-3.7,35107.819
2010/5/6,143,143.5,140.5,141,-2,-1.4,28364.976
2010/5/7,137.5,140,137,139.5,-1.5,-1.06,34816.309
2010/5/10,140.5,141.5,138.5,141.5,2,1.43,25235.536
2010/5/11,143,143,140,140,-1.5,-1.06,26247.152
2010/5/12,140.5,142,140,140,0,0,12428.484
2010/5/13,142.5,144.5,141.5,144,4,2.86,13904.305
2010/5/14,143,144,142.5,143.5,-0.5,-0.35,13146.686
2010/5/17,142,143,139.5,141,-2.5,-1.74,20550.111
2010/5/18,142,142,140.5,141,0,0,10066.264
2010/5/19,139,140,136.5,137.5,-3.5,-2.48,33272.006
2010/5/20,136.5,137,134,134,-3.5,-2.55,29661.007
2010/5/21,130,132.5,129.5,131,-3,-2.24,31055.267
2010/5/24,132,133.5,131.5,132.5,1.5,1.15,14359.23
2010/5/25,131,131,124,126,-6.5,-4.91,37823.297
2010/5/26,129,130.5,127.5,129,3,2.38,29855.41
2010/5/27,127,128.5,126,128.5,-0.5,-0.39,32235.83
2010/5/28,130,130,126,127,-1.5,-1.17,45647.423
2010/5/31,126,126.5,122.5,124.5,-2.5,-1.97,66503.196
2010/6/1,123,126,122.5,124.5,0,0,51531.363
2010/6/2,123.5,124,119,119.5,-5,-4.02,67491.952
2010/6/3,122,125,121.5,125,5.5,4.6,51397.611
2010/6/4,125,125,123.5,124.5,-0.5,-0.4,28456.64
2010/6/7,118,119,116,117.5,-7,-5.62,90032.318
2010/6/8,115,116,110,111.5,-6,-5.11,134172.843
2010/6/9,113,115.5,112.5,113.5,2,1.79,84474.737
2010/6/10,115,118,114,117.5,4,3.52,42215.854
2010/6/11,120.5,121,118.5,118.5,1,0.85,47339.055
2010/6/14,120,121,119,120.5,2,1.69,30107.546
2010/6/15,121,122,119.5,121,0.5,0.41,29143.207
2010/6/17,122,123,121,123,2,1.65,33105.847
2010/6/18,124,124,121.5,123,0,0,19968.712
2010/6/21,125,126.5,124,126.5,3.5,2.85,32417.77
2010/6/22,126.5,126.5,123.5,123.5,-3,-2.37,24940.639
2010/6/23,121.5,123.5,121.5,122.5,-1,-0.81,20935.84
2010/6/24,123.5,123.5,122.5,122.5,0,0,10180.11
2010/6/25,120.5,121.5,119,120.5,-2,-1.63,19776.589
2010/6/28,120,121.5,119.5,120.5,0,0,12474.452
2010/6/29,122.5,123.5,120,121,0.5,0.41,21340.819
2010/6/30,116,117,114,114,-7,-5.79,58844.748
2010/7/1,114,115,112,113,-1,-0.88,36523.346
2010/7/2,112.5,114,111.5,112,-1,-0.88,31905.129
2010/7/5,112,116,112,116,4,3.57,19617.52
2010/7/6,114,116.5,113,116.5,0.5,0.43,23749.632
2010/7/7,117,117.5,116,116.5,0,0,15462.018
2010/7/8,118.5,120,118,120,3.5,3,31965.26
2010/7/9,120.5,121,118.5,120.5,0.5,0.42,23786.756
2010/7/12,123,123,120,121,0.5,0.41,33219.633
2010/7/13,122,122.5,120,120,-1,-0.83,22073.035
2010/7/14,123,124,122,123.5,3.5,2.92,43773.783
2010/7/15,124,124.5,123,123,-0.5,-0.4,28905.288
2010/7/16,123,123.5,120.5,120.5,-2.5,-2.03,13201.993
2010/7/19,118.5,119.5,118,119,-1.5,-1.24,19309.928
2010/7/20,119.5,121,118.5,119.5,0.5,0.42,17433.474
2010/7/21,119.5,120.5,118.5,119,-0.5,-0.42,18182.745
2010/7/22,118.5,120,118,119,0,0,13409.486
2010/7/23,121,125.5,121,125,6,5.04,67995.527
2010/7/26,126,129,126,129,4,3.2,53842.943
2010/7/27,130,130.5,128.5,130,1,0.78,36465.918
2010/7/28,130,131,129,131,1,0.77,21567.944
2010/7/29,130,131.5,129.5,131,0,0,19199.203
2010/7/30,130,130,128.5,129,-2,-1.53,13215.592
2010/8/2,130,134.5,130,133.5,4.5,3.49,31338.835
2010/8/3,135,136.5,134.5,136,2.5,1.87,29982.512
2010/8/4,136,136.5,133.5,134,-2,-1.47,18567.577
2010/8/5,135.5,136,133,134,0,0,14321.439
2010/8/6,134,135.5,133.5,135,1,0.75,14401.579
2010/8/9,134,136,134,136,1,0.74,12333.101
2010/8/10,136.5,137,133.5,134,-2,-1.47,17856.17
2010/8/11,133,134,130,131,-3,-2.24,22592.338
2010/8/12,128.5,130.5,128,130,-1,-0.76,22122.485
2010/8/13,130,131,129,130.5,0.5,0.38,20297.401
